NAME,RATING,PHONE,WEBSITE,GOOGLE_MAPS_LINK
Registre National des Entreprises Sousse,"1,7",70 248 170,Checking...,https://www.google.com/maps/place/Registre+National+des+Entreprises+Sousse/data=!4m7!3m6!1s0x130275ac6c2b9653:0xf0d7b3633be1e0c4!8m2!3d35.8207551!4d10.6341181!16s%2Fg%2F11j8v_070c!19sChIJU5YrbKx1AhMRxODhO2Oz1_A?authuser=0&hl=fr&rclk=1
technobox Informatique Sousse,"4,4",22 945 033,Checking...,https://www.google.com/maps/place/technobox+Informatique+Sousse/data=!4m7!3m6!1s0x12fd8a5f95559f9b:0x5c02e6c46828db7c!8m2!3d35.8297247!4d10.6365983!16s%2Fg%2F11f2sqkl57!19sChIJm59VlV-K_RIRfNsoaMTmAlw?authuser=0&hl=fr&rclk=1
IAT SOUSSE,N/A,N/A,Checking...,https://www.google.com/maps/place/IAT+SOUSSE/data=!4m7!3m6!1s0x1302750016424fb3:0xd763d92448b5217d!8m2!3d35.8245029!4d10.634584!16s%2Fg%2F11mktq11tk!19sChIJs09CFgB1AhMRfSG1SCTZY9c?authuser=0&hl=fr&rclk=1
"Ghazeli,Sousse",N/A,90 663 003,Checking...,"https://www.google.com/maps/place/Ghazeli,Sousse/data=!4m7!3m6!1s0x13027500642ff56d:0x8f520f83b15a5459!8m2!3d35.8215015!4d10.6260026!16s%2Fg%2F11x7bf7y6w!19sChIJbfUvZAB1AhMRWVRasYMPUo8?authuser=0&hl=fr&rclk=1"
30/10 Sousse Poste MT-MT,N/A,N/A,Checking...,https://www.google.com/maps/place/30%2F10+Sousse+Poste+MT-MT/data=!4m7!3m6!1s0x1302750052d86297:0xbcc3e7c194e1458d!8m2!3d35.8193689!4d10.6356621!16s%2Fg%2F11y0mlq6t9!19sChIJl2LYUgB1AhMRjUXhlMHnw7w?authuser=0&hl=fr&rclk=1
Électricité Hannachi,"5,0",55 124 666,Checking...,https://www.google.com/maps/place/%C3%89lectricit%C3%A9+Hannachi/data=!4m7!3m6!1s0x1302751daf941399:0x1f66b726bae7e709!8m2!3d35.8245029!4d10.634584!16s%2Fg%2F11rj3h5ts1!19sChIJmROUrx11AhMRCefnuia3Zh8?authuser=0&hl=fr&rclk=1
WINSAP CONSULTING,"5,0",70 253 167,Checking...,https://www.google.com/maps/place/WINSAP+CONSULTING/data=!4m7!3m6!1s0x130275ec4d60b2f7:0x8846656a6d4021c3!8m2!3d35.8249324!4d10.6321668!16s%2Fg%2F11p_8m87_j!19sChIJ97JgTex1AhMRwyFAbWplRog?authuser=0&hl=fr&rclk=1
Belkhairat Trading,N/A,31 516 745,Checking...,https://www.google.com/maps/place/Belkhairat+Trading/data=!4m7!3m6!1s0x1302757424d7b6eb:0xd7f85313c017f270!8m2!3d35.8245029!4d10.634584!16s%2Fg%2F11q1q5x5b9!19sChIJ67bXJHR1AhMRcPIXwBNT-Nc?authuser=0&hl=fr&rclk=1
STAFFING TUNISIA- Sousse,"5,0",31 360 300,Checking...,https://www.google.com/maps/place/STAFFING+TUNISIA-+Sousse/data=!4m7!3m6!1s0x130275f384d40f51:0xbce04a3252725434!8m2!3d35.8291216!4d10.6344725!16s%2Fg%2F11h87df454!19sChIJUQ_UhPN1AhMRNFRyUjJK4Lw?authuser=0&hl=fr&rclk=1
Shoemaker Sousse,"5,0",N/A,Checking...,https://www.google.com/maps/place/Shoemaker+Sousse/data=!4m7!3m6!1s0x1302750061c582a5:0x8c75dec7f68d1407!8m2!3d35.8232317!4d10.6380506!16s%2Fg%2F11whzfztf8!19sChIJpYLFYQB1AhMRBxSN9sfedYw?authuser=0&hl=fr&rclk=1
Smart Tunisie (Agence de Sousse),"3,8",71 115 960,Checking...,https://www.google.com/maps/place/Smart+Tunisie+%28Agence+de+Sousse%29/data=!4m7!3m6!1s0x12fd8a5083a4a8cd:0x8f35fd0591cf4757!8m2!3d35.8341708!4d10.6279179!16s%2Fg%2F11c6c9jcsg!19sChIJzaikg1CK_RIRV0fPkQX9NY8?authuser=0&hl=fr&rclk=1
STIR,N/A,97 775 578,Checking...,https://www.google.com/maps/place/STIR/data=!4m7!3m6!1s0x130275a6b8617b9f:0x23c983bc9c200f5b!8m2!3d35.8245029!4d10.634584!16s%2Fg%2F11rwrd__ws!19sChIJn3thuKZ1AhMRWw8gnLyDySM?authuser=0&hl=fr&rclk=1
Immeuble Espace Sousse,"4,4",26 001 309,Checking...,https://www.google.com/maps/place/Immeuble+Espace+Sousse/data=!4m7!3m6!1s0x130275b45e769a6f:0x61d94909d15ff7d8!8m2!3d35.8371076!4d10.6265277!16s%2Fg%2F11t6gg171g!19sChIJb5p2XrR1AhMR2Pdf0QlJ2WE?authuser=0&hl=fr&rclk=1
Propulsum consulting Company,N/A,23 467 774,Checking...,https://www.google.com/maps/place/Propulsum+consulting+Company/data=!4m7!3m6!1s0x13027571cb9c532f:0xc4b31ba79ced0d95!8m2!3d35.8245029!4d10.634584!16s%2Fg%2F11r7myjvk6!19sChIJL1Ocy3F1AhMRlQ3tnKcbs8Q?authuser=0&hl=fr&rclk=1
Oldo Studio,N/A,N/A,Checking...,https://www.google.com/maps/place/Oldo+Studio/data=!4m7!3m6!1s0x1302755c6846ec5b:0x4466aa5adc12a18a!8m2!3d35.8245029!4d10.634584!16s%2Fg%2F11j812243v!19sChIJW-xGaFx1AhMRiqES3FqqZkQ?authuser=0&hl=fr&rclk=1
API Sousse,"3,0",73 222 404,Checking...,https://www.google.com/maps/place/API+Sousse/data=!4m7!3m6!1s0x13027582cc50f379:0xd085fcbb83301eb5!8m2!3d35.8371348!4d10.6265001!16s%2Fg%2F11c6dk6z65!19sChIJefNQzIJ1AhMRtR4wg7v8hdA?authuser=0&hl=fr&rclk=1
ESI Commercial Sousse,"5,0",73 210 998,Checking...,https://www.google.com/maps/place/ESI+Commercial+Sousse/data=!4m7!3m6!1s0x13027576a40c3de3:0xb730fee3ed379a68!8m2!3d35.8295073!4d10.6361919!16s%2Fg%2F11c5rwkf0s!19sChIJ4z0MpHZ1AhMRaJo37eP-MLc?authuser=0&hl=fr&rclk=1
JoGo EX,"5,0",56 178 086,Checking...,https://www.google.com/maps/place/JoGo+EX/data=!4m7!3m6!1s0x130275daabccaef3:0x13aa3f84597c9c1f!8m2!3d35.8265664!4d10.6287208!16s%2Fg%2F11lr7yrqlr!19sChIJ867Mq9p1AhMRH5x8WYQ_qhM?authuser=0&hl=fr&rclk=1
Résidence El Habib,"5,0",N/A,Checking...,https://www.google.com/maps/place/R%C3%A9sidence+El+Habib/data=!4m7!3m6!1s0x130275649fa818c9:0xa1d3696fb7417cd8!8m2!3d35.8245029!4d10.634584!16s%2Fg%2F11hbkv90hy!19sChIJyRion2R1AhMR2HxBt29p06E?authuser=0&hl=fr&rclk=1
SOCIETE COMPTOIR DE LA CHIMIE -S2C-,"4,0",73 322 176,Checking...,https://www.google.com/maps/place/SOCIETE+COMPTOIR+DE+LA+CHIMIE+-S2C-/data=!4m7!3m6!1s0x1302755f4ca4ee93:0x6fd7e85d87721e25!8m2!3d35.801861!4d10.6556898!16s%2Fg%2F11qntl39k5!19sChIJk-6kTF91AhMRJR5yh13o128?authuser=0&hl=fr&rclk=1
UTICA,"5,0",N/A,Checking...,https://www.google.com/maps/place/UTICA/data=!4m7!3m6!1s0x130275606b0825c7:0x4762bb1fed6d5612!8m2!3d35.8211802!4d10.6340357!16s%2Fg%2F11j0tlfqr0!19sChIJxyUIa2B1AhMRElZt7R-7Ykc?authuser=0&hl=fr&rclk=1
Opticalia trading and services,N/A,98 404 120,Checking...,https://www.google.com/maps/place/Opticalia+trading+and+services/data=!4m7!3m6!1s0x130275d6d98431bd:0xf20d0612351570da!8m2!3d35.8245029!4d10.634584!16s%2Fg%2F11s3vswz8y!19sChIJvTGE2dZ1AhMR2nAVNRIGDfI?authuser=0&hl=fr&rclk=1
J&J DELIEVRY SOUSSE,N/A,"4
29 097 724",Checking...,https://www.google.com/maps/place/J%26J+DELIEVRY+SOUSSE/data=!4m7!3m6!1s0x1302750021073ce9:0x5d262160ce31d3f2!8m2!3d35.8245029!4d10.634584!16s%2Fg%2F11vrmgv56b!19sChIJ6TwHIQB1AhMR8tMxzmAhJl0?authuser=0&hl=fr&rclk=1
Elite Déménagement Sousse,N/A,"4
21 109 244",Checking...,https://www.google.com/maps/place/Elite+D%C3%A9m%C3%A9nagement+Sousse/data=!4m7!3m6!1s0x130275007332f077:0xed7a6170043f437e!8m2!3d35.8245029!4d10.634584!16s%2Fg%2F11z37z_gsp!19sChIJd_AycwB1AhMRfkM_BHBheu0?authuser=0&hl=fr&rclk=1
STTAT - SOUSSE AGENCY,"5,0",73 219 544,Checking...,https://www.google.com/maps/place/STTAT+-+SOUSSE+AGENCY/data=!4m7!3m6!1s0x130275f114501203:0xfd31ba0554516583!8m2!3d35.8248461!4d10.6414436!16s%2Fg%2F11hrynrrr2!19sChIJAxJQFPF1AhMRg2VRVAW6Mf0?authuser=0&hl=fr&rclk=1
DIGISUBS AGENCY,N/A,99 702 374,Checking...,https://www.google.com/maps/place/DIGISUBS+AGENCY/data=!4m7!3m6!1s0x130275001511fad9:0x6e596ed735e0f723!8m2!3d35.8248071!4d10.6318436!16s%2Fg%2F11lz_ppm0q!19sChIJ2foRFQB1AhMRI_fgNdduWW4?authuser=0&hl=fr&rclk=1
Inscenes events,"5,0",50 696 369,Checking...,https://www.google.com/maps/place/Inscenes+events/data=!4m7!3m6!1s0x130275bd423e6bd1:0x2406e5eaa0ac9ede!8m2!3d35.8296495!4d10.6339561!16s%2Fg%2F11rmrbq53l!19sChIJ0Ws-Qr11AhMR3p6soOrlBiQ?authuser=0&hl=fr&rclk=1
DISMATIC MIP MIME SOUSSE,N/A,71 112 300,Checking...,https://www.google.com/maps/place/DISMATIC+MIP+MIME+SOUSSE/data=!4m7!3m6!1s0x1302755e9aa73d93:0x62ca3c9e3de37298!8m2!3d35.8099545!4d10.6246402!16s%2Fg%2F11b6hq4n_1!19sChIJkz2nml51AhMRmHLjPZ48ymI?authuser=0&hl=fr&rclk=1
High Business Center,"5,0",92 990 901,Checking...,https://www.google.com/maps/place/High+Business+Center/data=!4m7!3m6!1s0x681b62065efe0ead:0x29faf55d92801df7!8m2!3d35.8370912!4d10.6264482!16s%2Fg%2F11ld5b28tq!19sChIJrQ7-XgZiG2gR9x2Akl31-ik?authuser=0&hl=fr&rclk=1
Tipi by K,"5,0",50 403 450,Checking...,https://www.google.com/maps/place/Tipi+by+K/data=!4m7!3m6!1s0x130275115485c4ad:0x9f910b82500936be!8m2!3d35.8217166!4d10.6272493!16s%2Fg%2F11h_cktjpt!19sChIJrcSFVBF1AhMRvjYJUIILkZ8?authuser=0&hl=fr&rclk=1
Cabinet Expert Comptable Zouhaier Ouni & Commissaire aux comptes,"5,0",58 334 921,Checking...,https://www.google.com/maps/place/Cabinet+Expert+Comptable+Zouhaier+Ouni+%26+Commissaire+aux+comptes/data=!4m7!3m6!1s0x130275a72ebb3c1b:0xaab647d00787c614!8m2!3d35.8243131!4d10.6291489!16s%2Fg%2F11rzgxc45g!19sChIJGzy7Lqd1AhMRFMaHB9BHtqo?authuser=0&hl=fr&rclk=1
HM Business center,"5,0",99 016 612,Checking...,https://www.google.com/maps/place/HM+Business+center/data=!4m7!3m6!1s0x130275e26da08e93:0xa357a34b65a8f5c2!8m2!3d35.8314834!4d10.6340999!16s%2Fg%2F11hdy767mj!19sChIJk46gbeJ1AhMRwvWoZUujV6M?authuser=0&hl=fr&rclk=1
EPRATEC,"5,0",50 707 030,Checking...,https://www.google.com/maps/place/EPRATEC/data=!4m7!3m6!1s0x130213ec6b2f9567:0xb31141ebd55e0e85!8m2!3d35.8245029!4d10.634584!16s%2Fg%2F11h1rymwvh!19sChIJZ5Uva-wTAhMRhQ5e1etBEbM?authuser=0&hl=fr&rclk=1
Electro Service Plus Sousse,N/A,28 880 106,Checking...,https://www.google.com/maps/place/Electro+Service+Plus+Sousse/data=!4m7!3m6!1s0x1302751e2506dffd:0xdab3487a4ecf1f91!8m2!3d35.8273403!4d10.6338218!16s%2Fg%2F11mvwqz2jm!19sChIJ_d8GJR51AhMRkR_PTnpIs9o?authuser=0&hl=fr&rclk=1
MBS Sousse,N/A,N/A,Checking...,https://www.google.com/maps/place/MBS+Sousse/data=!4m7!3m6!1s0x130275007487e393:0x1463b7bdfe543af0!8m2!3d35.8298381!4d10.630631!16s%2Fg%2F11mrnthyh7!19sChIJk-OHdAB1AhMR8DpU_r23YxQ?authuser=0&hl=fr&rclk=1
Tunisie SMS Ag. Sousse,"3,0",31 171 917,Checking...,https://www.google.com/maps/place/Tunisie+SMS+Ag.+Sousse/data=!4m7!3m6!1s0x13027575af17f297:0x4cfb701a02762160!8m2!3d35.8314048!4d10.6388714!16s%2Fg%2F11f2smw2j2!19sChIJl_IXr3V1AhMRYCF2Ahpw-0w?authuser=0&hl=fr&rclk=1
Agence Citroën Sousse - Guibane auto,"5,0",73 227 994,Checking...,https://www.google.com/maps/place/Agence+Citro%C3%ABn+Sousse+-+Guibane+auto/data=!4m7!3m6!1s0x130275c5e5ae8c15:0x5b3b90de5955f27!8m2!3d35.822496!4d10.6401998!16s%2Fg%2F11jp7vmkpr!19sChIJFYyu5cV1AhMRJ1-V5Q25swU?authuser=0&hl=fr&rclk=1
Alpha Consult Comptable Sousse,N/A,52 882 836,Checking...,https://www.google.com/maps/place/Alpha+Consult+Comptable+Sousse/data=!4m7!3m6!1s0x130275656a84ca71:0xcb84d95a29fca631!8m2!3d35.8223761!4d10.6296192!16s%2Fg%2F11fy4nfnj5!19sChIJccqEamV1AhMRMab8KVrZhMs?authuser=0&hl=fr&rclk=1
SNIT Centre Sousse,"3,9",73 225 113,Checking...,https://www.google.com/maps/place/SNIT+Centre+Sousse/data=!4m7!3m6!1s0x130275714610c341:0x4b24c15b6b0f8207!8m2!3d35.8278645!4d10.6355094!16s%2Fg%2F1x5cwmyg!19sChIJQcMQRnF1AhMRB4IPa1vBJEs?authuser=0&hl=fr&rclk=1
world design sousse,"4,0",98 419 619,Checking...,https://www.google.com/maps/place/world+design+sousse/data=!4m7!3m6!1s0x1302756c02e65b5d:0xafcdc7b3302ec981!8m2!3d35.8183142!4d10.6367714!16s%2Fg%2F1q5bml1t7!19sChIJXVvmAmx1AhMRgckuMLPHza8?authuser=0&hl=fr&rclk=1
Super Climat Shop (SCS Sousse),"5,0",73 202 651,Checking...,https://www.google.com/maps/place/Super+Climat+Shop+%28SCS+Sousse%29/data=!4m7!3m6!1s0x1302757770ce45b9:0xc219bb8c7b5cab1d!8m2!3d35.8312292!4d10.631695!16s%2Fg%2F11gd1v7tdf!19sChIJuUXOcHd1AhMRHatce4y7GcI?authuser=0&hl=fr&rclk=1
SAV MIPS Sousse,"3,0",28 407 813,Checking...,https://www.google.com/maps/place/SAV+MIPS+Sousse/data=!4m7!3m6!1s0x13027577b081152f:0xec794a1b2841eab5!8m2!3d35.8323112!4d10.63282!16s%2Fg%2F11ddzy150g!19sChIJLxWBsHd1AhMRtepBKBtKeew?authuser=0&hl=fr&rclk=1
Ozeol Company,"3,3",70 108 400,Checking...,https://www.google.com/maps/place/Ozeol+Company/data=!4m7!3m6!1s0x12fd8a1a0538ef45:0x26179404fe8e7998!8m2!3d35.8386356!4d10.6056568!16s%2Fg%2F1q5gpk83d!19sChIJRe84BRqK_RIRmHmO_gSUFyY?authuser=0&hl=fr&rclk=1
"S/S Agil Mohamed Maarouf, Sousse","4,0",73 203 686,Checking...,"https://www.google.com/maps/place/S%2FS+Agil+Mohamed+Maarouf,+Sousse/data=!4m7!3m6!1s0x130275729e8c0001:0xaad4ce05eda49fbb!8m2!3d35.8229358!4d10.640486!16s%2Fg%2F11sskr83w7!19sChIJAQCMnnJ1AhMRu5-k7QXO1Ko?authuser=0&hl=fr&rclk=1"
Zitouni Interior,"5,0",99 765 573,Checking...,https://www.google.com/maps/place/Zitouni+Interior/data=!4m7!3m6!1s0x130275713ed96da5:0xd4326e01fdf6f61a!8m2!3d35.8363491!4d10.6305392!16s%2Fg%2F11rmxsdfwd!19sChIJpW3ZPnF1AhMRGvb2_QFuMtQ?authuser=0&hl=fr&rclk=1
TCC INFORMATIQUE,"5,0","1952
73 229 122",Checking...,https://www.google.com/maps/place/TCC+INFORMATIQUE/data=!4m7!3m6!1s0x13027581989ac9c5:0x5a12a8a65374f80b!8m2!3d35.8298286!4d10.6366956!16s%2Fg%2F11r_k4bmzt!19sChIJxcmamIF1AhMRC_h0U6aoElo?authuser=0&hl=fr&rclk=1
Quicktext Sousse,N/A,73 210 332,Checking...,https://www.google.com/maps/place/Quicktext+Sousse/data=!4m7!3m6!1s0x130275a867481841:0xcc5aa07d87373e18!8m2!3d35.8320447!4d10.6367083!16s%2Fg%2F11y5vh_lb3!19sChIJQRhIZ6h1AhMRGD43h32gWsw?authuser=0&hl=fr&rclk=1
ALTRA CALL Sousse,"4,3",58 300 195,Checking...,https://www.google.com/maps/place/ALTRA+CALL+Sousse/data=!4m7!3m6!1s0x13027581123bf92b:0x2613033dbced24b2!8m2!3d35.8383807!4d10.623191!16s%2Fg%2F11c0rvtf0h!19sChIJK_k7EoF1AhMRsiTtvD0DEyY?authuser=0&hl=fr&rclk=1
Dima Voyages Sousse,"3,7",50 508 055,Checking...,https://www.google.com/maps/place/Dima+Voyages+Sousse/data=!4m7!3m6!1s0x130275731c26d89d:0x688c8f5c0aee0dac!8m2!3d35.8256774!4d10.640409!16s%2Fg%2F1tg_0xhc!19sChIJndgmHHN1AhMRrA3uClyPjGg?authuser=0&hl=fr&rclk=1
Mytek (Trocadero) Sousse,"2,9",36 010 377,Checking...,https://www.google.com/maps/place/Mytek+%28Trocadero%29+Sousse/data=!4m7!3m6!1s0x13027577afc353ef:0x4e85e6cfe79263d2!8m2!3d35.8322807!4d10.6331788!16s%2Fg%2F113gmkqzq!19sChIJ71PDr3d1AhMR0mOS58_mhU4?authuser=0&hl=fr&rclk=1
ROSA LEATHER,"4,5",98 139 043,Checking...,https://www.google.com/maps/place/ROSA+LEATHER/data=!4m7!3m6!1s0x13027596340cfd21:0x75fe915333d89bb3!8m2!3d35.8268236!4d10.6384393!16s%2Fg%2F11fm2p731p!19sChIJIf0MNJZ1AhMRs5vYM1OR_nU?authuser=0&hl=fr&rclk=1
NMA,N/A,53 906 866,Checking...,https://www.google.com/maps/place/NMA/data=!4m7!3m6!1s0x1302757f285372bf:0xdf641bea200917d8!8m2!3d35.8245029!4d10.634584!16s%2Fg%2F11rkbcbjp6!19sChIJv3JTKH91AhMR2BcJIOobZN8?authuser=0&hl=fr&rclk=1
Local BH Sousse Indépendance,N/A,N/A,Checking...,https://www.google.com/maps/place/Local+BH+Sousse+Ind%C3%A9pendance/data=!4m7!3m6!1s0x130275002dae159f:0xc32e19f99e7325c8!8m2!3d35.828806!4d10.6424449!16s%2Fg%2F11w7m8xpnh!19sChIJnxWuLQB1AhMRyCVznvkZLsM?authuser=0&hl=fr&rclk=1
RedDev Solutions,N/A,42 390 572,Checking...,https://www.google.com/maps/place/RedDev+Solutions/data=!4m7!3m6!1s0x1302756d1a14cc11:0xe3d236d7ecf80ea9!8m2!3d35.8245029!4d10.634584!16s%2Fg%2F11rq5xf_nz!19sChIJEcwUGm11AhMRqQ747Nc20uM?authuser=0&hl=fr&rclk=1
graphicart agency,"5,0",55 216 665,Checking...,https://www.google.com/maps/place/graphicart+agency/data=!4m7!3m6!1s0x130275c856be06f9:0xb99c38b71ab405f!8m2!3d35.8245029!4d10.634584!16s%2Fg%2F11rrvt0q76!19sChIJ-Qa-Vsh1AhMRX0CrcYvDmQs?authuser=0&hl=fr&rclk=1
Solar Power Company Sousse,"5,0",95 455 125,Checking...,https://www.google.com/maps/place/Solar+Power+Company+Sousse/data=!4m7!3m6!1s0x12fd8bc68c8dba73:0x65c132dd9f41ba4f!8m2!3d35.8369276!4d10.596857!16s%2Fg%2F11j9cmrv_c!19sChIJc7qNjMaL_RIRT7pBn90ywWU?authuser=0&hl=fr&rclk=1
Centre sousse,"5,0",N/A,Checking...,https://www.google.com/maps/place/Centre+sousse/data=!4m7!3m6!1s0x1302752d6fad25db:0xbe6f8f7d3f032459!8m2!3d35.8331196!4d10.6370868!16s%2Fg%2F11tsh4108g!19sChIJ2yWtby11AhMRWSQDP32Pb74?authuser=0&hl=fr&rclk=1
Groupe Win Immobilière Sousse Centre,"4,0",54 230 000,Checking...,https://www.google.com/maps/place/Groupe+Win+Immobili%C3%A8re+Sousse+Centre/data=!4m7!3m6!1s0x130275e1a1982c39:0xe800f3d82f5a0835!8m2!3d35.8299505!4d10.6324487!16s%2Fg%2F11jr6h5w2m!19sChIJOSyYoeF1AhMRNQhaL9jzAOg?authuser=0&hl=fr&rclk=1
feteyen,N/A,4000 4000,Checking...,https://www.google.com/maps/place/feteyen/data=!4m7!3m6!1s0x1302750ebdd5136f:0x463bbd32fc30909f!8m2!3d35.8245029!4d10.634584!16s%2Fg%2F11j5fc_nzr!19sChIJbxPVvQ51AhMRn5Aw_DK9O0Y?authuser=0&hl=fr&rclk=1
univers trader,N/A,N/A,Checking...,https://www.google.com/maps/place/univers+trader/data=!4m7!3m6!1s0x130275e348087175:0x78a2044f3204b9c6!8m2!3d35.8245029!4d10.634584!16s%2Fg%2F11r6sqrczv!19sChIJdXEISON1AhMRxrkEMk8Eong?authuser=0&hl=fr&rclk=1
